TF,Target,Label
CCND1,ANXA5,1
DNMT3B,HIST1H2AL,1
TFCP2L1,ESRRB,1
DNMT3A,DNMT3B,1
SOX2,POU5F1,1
NANOG,LEFTY1,1
SOX17,SOX2,1
HIST1H1D,TRP53,1
JARID2,HIST1H2AL,1
POU5F1,UTF1,1
TRP53,RBPJ,1
NANOG,TET2,1
ZFP42,DPPA4,1
ESRRB,ZFP42,1
DNMT3B,NANOG,1
GATA4,SOX7,1
JARID2,GATA4,1
JARID2,NANOG,1
JARID2,DNMT3A,1
CCND1,SOX2,1
NANOG,SOX17,1
CCND1,CCNB1,1
TRP53,SPP1,1
HIST1H1B,HIST1H3I,1
MYBL2,CCND1,1
ZFPM1,KAT2B,1
PHC1,UBE2C,1
UTF1,POU5F1,1
POU5F1,TDGF1,1
CCND1,IGF2,1
HIST1H1D,HIST1H4N,1
PML,NUP210,1
NR0B1,ZFP42,1
ESRRB,TCL1,1
DNMT3A,HIST1H4K,1
MYBL2,UBE2C,1
MYBL2,AURKA,1
KLF2,ESRRB,1
ZFP42,POU5F1,1
NANOG,TRP53,1
POU5F1,ESRRB,1
SOX2,GATA4,1
DNMT3B,HIST2H2BB,1
SOX2,CCND1,1
TRP53,SERPINE2,1
SOX2,NANOG,1
CCND1,MYBL2,1
NANOG,SOX2,1
KAT2B,TRP53,1
NANOG,POU5F1,1
SOX7,GATA4,1
DNMT3B,HIST1H2BK,1
POU5F1,TCL1,1
DAB2,LRP2,1
GATA6,SOX2,1
XBP1,HSP90B1,1
TRP53,RRM2,1
NANOG,TET1,1
TRP53,NANOG,1
DNMT3L,DNMT3A,1
HIST1H1B,TRP53,1
PHC1,HIST1H2BK,1
SOX17,POU5F1,1
TRP53,AURKA,1
ESRRB,POU5F1,1
SOX2,GATA6,1
CCND1,TRP53,1
UTF1,NANOG,1
NANOG,JARID2,1
POU5F1,TFCP2L1,1
POU5F1,DNMT3B,1
SOX7,GATA6,1
SOX2,UTF1,1
NANOG,NR0B1,1
HSPB1,HSPA5,1
DNMT3A,TET1,1
ZFPM1,GATA4,1
CCND1,POU5F1,1
POU5F1,KIT,1
NR0B1,POU5F1,1
DNMT3A,TET2,1
NANOG,GATA4,1
SOX2,KLF2,1
DNMT3B,HIST1H4K,1
POU5F1,LEFTY1,1
SOX17,GATA4,1
POU5F1,TET2,1
DNMT3L,HIST1H2AL,1
SOX17,NANOG,1
DNMT3A,HIST1H2AF,1
SOX2,ESRRB,1
HIST1H1D,HIST1H1A,1
TRP53,HMGA1,1
TRP53,HIST1H1A,1
TRP53,CDC20,1
CCND1,HIST1H2AL,1
KAT2B,ZFPM1,1
CREB3L2,SEC24D,1
DNMT3A,TRP53,1
POU5F1,SOX17,1
TRP53,PML,1
HIST1H1B,HIST1H4D,1
GATA4,SOX17,1
CCND1,DNMT3A,1
KAT2B,HIST1H4N,1
ZFPM1,HIST1H2BK,1
UTF1,TDGF1,1
NR0B1,NANOG,1
HIST1H1D,HIST1H1B,1
TRP53,HIST1H1B,1
POU5F1,TRP53,1
UTF1,ESRRB,1
TRP53,SLC2A1,1
ZFP42,TDGF1,1
MYBL2,CDC20,1
ZFP42,NANOG,1
NANOG,KLF2,1
DNMT3A,HIST1H4N,1
DNMT3B,HIST1H3I,1
KPNA2,PLK1,1
DNMT3B,TET1,1
HIST1H1D,HIST1H4K,1
POU5F1,SOX2,1
KAT2B,HIST1H2BK,1
TRP53,ANXA2,1
KLF2,POU5F1,1
MYBL2,CCNB1,1
DNMT3L,HIST2H2BB,1
KPNA2,AURKA,1
NANOG,TDGF1,1
TFCP2L1,NANOG,1
TRP53,ANXA5,1
ESRRB,NR0B1,1
TRP53,TOP2A,1
ESRRB,KLF2,1
EPAS1,COMMD3,1
DNMT3A,JARID2,1
DNMT3L,HIST1H2BK,1
CREB3L2,CREB3,1
SOX2,FGF4,1
UTF1,DPPA4,1
SOX2,ZFP42,1
DNMT3L,DNMT3B,1
ESRRB,NANOG,1
DNMT3B,HIST1H2AF,1
DNMT3A,CCND1,1
DAB2,HIP1,1
ZFP42,UTF1,1
DNMT3B,HIST1H3H,1
XBP1,P4HB,1
TRP53,KIT,1
UTF1,DPPA2,1
POU5F1,NR0B1,1
TRP53,SOX2,1
TRP53,HSP90AA1,1
GATA4,JARID2,1
TRP53,CCNB1,1
TRP53,POU5F1,1
UTF1,SOX2,1
KAT2B,HIST1H4K,1
TRP53,IGF2,1
POU5F1,GATA4,1
CCND1,AURKA,1
POU5F1,NANOG,1
UTF1,ZFP42,1
RBPJ,KAT2B,1
SOX2,SOX17,1
NR0B1,ESRRB,1
KPNA2,CDC20,1
GATA6,SOX7,1
DNMT3B,HIST1H4N,1
GATA4,NANOG,1
NANOG,TFCP2L1,1
NANOG,DPPA2,1
DNMT3A,HIST2H2BB,1
ZFP42,ESRRB,1
SOX2,TRP53,1
GATA4,ZFPM1,1
XBP1,HSPA5,1
DNMT3B,DNMT3L,1
NANOG,FGF4,1
POU5F1,GATA6,1
DNMT3A,HIST1H2BK,1
NANOG,ZFP42,1
DNMT3B,AQP8,0
NR0B1,ADAMTS9,0
PHC1,FAM129B,0
KLF2,SAT1,0
RBPJ,FABP3,0
ESRRB,CLDN6,0
KLF2,TUBB2B,0
NFXL1,RBPJ,0
NFXL1,LTBP4,0
PEG3,SLC7A3,0
ESRRB,CD63,0
TAX1BP3,ADAM19,0
EPAS1,BEND5,0
FOXQ1,GM9385,0
FOXQ1,MYLPF,0
TFCP2L1,MIR669J,0
HIST1H1D,COMMD3,0
BHLHE40,ASS1,0
PCBD1,SNORA81,0
KDM5B,CALR,0
JARID2,GNAS,0
MYBL2,ZFP57,0
UTF1,GM10169,0
BCL3,DPPA2,0
CREB3,DKC1,0
TRP53,P4HA1,0
TGIF1,GM2399,0
NFXL1,GM9531,0
TFCP2L1,DPPA4,0
NANOG,GM38312,0
DNMT3B,GM23571,0
EPAS1,SNHG5,0
GATA4,MIR466B-4,0
PHC1,TNS4,0
BCL3,GM24455,0
RBPJ,SLC6A8,0
DNMT3B,GM26917,0
HIST1H1B,RIAN,0
TAX1BP3,GM28439,0
SOX17,CMKLR1,0
HMGA1,GM25701,0
MYBL2,GM24315,0
SOX2,MIR8091,0
FOXQ1,SNORA3,0
GATA4,CST3,0
KPNA2,TXNDC5,0
PML,GM26447,0
ELF3,BASP1,0
POU5F1,TOP2A,0
DNMT3L,RBPJ,0
TRP53,GJB3,0
KPNA2,RIAN,0
SOX7,HMCES,0
TFCP2L1,GM25943,0
KDM5B,TGIF1,0
HMGA1,FOXQ1,0
KAT2B,PATJ,0
RBPJ,JAM2,0
NR0B1,GM10169,0
TFCP2L1,PODXL,0
ZFP42,COTL1,0
ZFPM1,GM23569,0
DNMT3A,PDPN,0
KDM5B,P3H4,0
DNMT3B,LAPTM5,0
ZFP42,SNORD35A,0
EPAS1,GM23651,0
HIST1H1D,GM8355,0
SOX7,MIR466B-6,0
HSPB1,ITPK1,0
KAT2B,KHDC3,0
PML,GM9531,0
BHLHE40,GM28030,0
PHC1,FST,0
TFCP2L1,SDC4,0
KAT2B,MIR669G,0
HMGA1,STXBP2,0
HIST1H1B,BNIP3,0
NFXL1,DPPA4,0
PCBD1,MARC2,0
SOX17,SNORD33,0
CREB3L2,XBP1,0
TRP53,GM26287,0
NFXL1,GM24201,0
TRP53,HIST1H2BK,0
HIST1H1D,GM23651,0
TGIF1,GM9385,0
NFXL1,MIR5117,0
PEG3,ANXA2,0
ESRRB,GM23639,0
FOXQ1,GM42429,0
FOXQ1,FGFR3,0
HIST1H1B,CEMIP,0
TAX1BP3,GM22620,0
CREB3L2,GM23158,0
GATA4,ADAM23,0
KDM5B,SOX7,0
TGIF1,ZFAS1,0
RBPJ,SNHG12,0
NR0B1,ZFP989,0
BCL3,RPL17-PS10,0
UTF1,GM7329,0
HSPB1,HIST1H1D,0
NFXL1,GM27743,0
ELF3,HIST1H4N,0
BHLHE40,FOXQ1,0
KPNA2,GM43521,0
NFXL1,HIST1H2BF,0
DNMT3L,CTSA,0
CCND1,MARC2,0
GATA6,SPRY2,0
GATA6,MIR466B-6,0
ESRRB,GM42845,0
BCL3,NANOG,0
NR0B1,GM44346,0
ELF3,DNMT3L,0
PEG3,PGAM1-PS2,0
SOX2,PLOD3,0
SOX2,GM24201,0
DNMT3L,TMEM144,0
HSPB1,GM27592,0
BHLHE40,LAMC1,0
KDM5B,MIR677,0
DNMT3B,CTSL,0
HIST1H1D,SOX17,0
PCBD1,SNORD49B,0
SOX17,LEFTY2,0
KPNA2,GM15459,0
NANOG,HIST1H2AN,0
TRP53,GM28900,0
CREB3,GM26073,0
KDM5B,GM25753,0
ZFP42,GM22091,0
DAB2,RRM2,0
DNMT3A,ABHD5,0
HMGA1,SHKBP1,0
ETV5,EIF4A-PS4,0
