TF,Target
HIST1H1D,SOAT1
PEG3,ZFAS1
GATA6,GM23262
CREB3L2,ARHGAP29
PML,GM24289
DNMT3A,GRB10
TGIF1,TPM4
ZFPM1,PATJ
HMGA1,PODXL
ESRRB,HIST1H2BL
ELF3,PMM1
SOX2,FOXQ1
CCND1,HMCES
DNMT3B,STXBP2
ETV5,GM24044
SOX17,IFITM3
KPNA2,RPL23A-PS3
GATA4,ANXA2
TFCP2L1,PCBD1
SOX7,PTH1R
ZFPM1,MIR669G
RBPJ,GM22678
SOX2,GM25040
HIST1H1D,GM22468
TAX1BP3,LOXL2
POU5F1,NSD2
POU5F1,LTBP4
EPAS1,LEFTY2
HMGA1,GM25472
GATA4,FGF4
ESRRB,MIR677
GATA4,MIR669J
BHLHE40,GM4322
MYBL2,PCOLCE
POU5F1,GM14303
GATA4,SNORD32A
EPAS1,HIST1H2AF
ZFP42,MIR669J
PCBD1,CCN2
RBPJ,GM43521
DNMT3L,CEMIP
ELF3,HIST1H3I
DNMT3A,SOAT1
HIST1H1D,LOXL2
ZFP42,TET1
DNMT3A,TFCP2L1
DNMT3L,GM22925
XBP1,GM23158
DNMT3B,TAX1BP3
HIST1H1B,LGMN
GATA6,LGMN
HMGA1,GM25535
BCL3,GM10925
PCBD1,TYRO3
KAT2B,TDH
RBPJ,SPRY2
HSPB1,RHOX5
JARID2,GM27592
TRP53,TNS4
SOX2,HIST2H2BB
PHC1,RPL23A-PS3
MYBL2,MIR466B-6
EPAS1,ME1
KAT2B,GM14303
MYBL2,GM37376
PCBD1,GM25535
NR0B1,COL4A2
TGIF1,LOXL2
PEG3,MIR669J
PML,GM24761
POU5F1,LEFTY2
ZFP42,GM26318
CCND1,NSD2
KDM5B,MME
TFCP2L1,MAN1A2
BHLHE40,TRP53
DAB2,ZFP57
NFXL1,SNORD65
PML,GM27501
NR0B1,MYLPF
CREB3,GM25673
HIST1H1D,NID1
DNMT3L,NUTF2-PS2
ELF3,NID1
TAX1BP3,GM20721
HIST1H1D,SPINK1
GATA6,PDCD4
DNMT3B,AU018091
PHC1,APOE
ETV5,FAM25C
ELF3,STXBP2
XBP1,VIM
KAT2B,CTSA
TAX1BP3,GM26156
SOX2,GM26491
PEG3,AY036118
NANOG,HIST1H3I
HMGA1,KAT6B
SOX7,XBP1
POU5F1,GM8355
ZFPM1,CLDN6
PML,ITPK1
MYBL2,TFCP2L1
ESRRB,LOXL2
ELF3,CAR2
DAB2,GM23130
TFCP2L1,IFITM2
KLF2,RRM2
TAX1BP3,STARD8
HIST1H1D,GATA6
GATA4,MIR8091
BHLHE40,GM24916
MYBL2,CEMIP
KLF2,GNAS
DNMT3B,GM24451
TAX1BP3,INSIG1
TRP53,SNORD93
ETV5,GM24488
KLF2,LRPAP1
NFXL1,RRBP1
ZFPM1,MIR7005
CCND1,PRSS35
KDM5B,CDC20
HIST1H1D,RHOX5
RBPJ,PHC1
EPAS1,CCNG1
DAB2,SNHG5
BCL3,GM43107
EPAS1,2410141K09RIK
PML,RPL23A-PS3
ZFPM1,SNORD65
NANOG,OPLAH
GATA4,ZFAS1
FOXQ1,SNORD93
ESRRB,P4HB
DNMT3L,FXYD3
UTF1,GM25673
DAB2,PLAT
ETV5,IGF2
TGIF1,HIST1H3I
ZFP42,SURF4
ETV5,DNMT3B
DNMT3A,GM27743
NFXL1,PTH1R
GATA6,HIST1H3I
SOX2,LAMA5
HMGA1,GM29397
HIST1H1B,AKR1B8
TFCP2L1,FLRT3
ZFPM1,HTRA1
NFXL1,NR0B1
CCND1,NRG1
NR0B1,SERPINH1
XBP1,GM37746
BHLHE40,GLIPR2
KDM5B,GM23130
TGIF1,CREB3L2
ELF3,TFRC
CREB3,HMGA1
CREB3,MANF
KDM5B,HSP90AA1
PML,GM22678
TGIF1,RCC2
TFCP2L1,GM22862
PCBD1,GM4322
SOX17,HIST1H4N
ZFPM1,FLRT3
MYBL2,MIR3473F
XBP1,SPARC
HIST1H1B,GM23344
SOX2,LDHB
POU5F1,PMM1
BHLHE40,GM27406
PML,PMM1
GATA6,NPHS1
UTF1,GM37746
RBPJ,SPINK1
DAB2,MT2
ELF3,GM22411
TGIF1,RNU73B
HMGA1,ASS1
HSPB1,GM10259
JARID2,HTRA1
KLF2,GM3788
BCL3,HSP90AA1
ESRRB,TAX1BP3
NFXL1,SNORD85
KAT2B,2210409E12RIK
ETV5,GM44390
HIST1H1B,LAMB1
HSPB1,GATA4
HSPB1,UAP1L1
NANOG,GM28900
ZFPM1,GM10719
KDM5B,GM24564
RBPJ,GM4322
BHLHE40,SNORD93
ETV5,RPL15-PS3
TAX1BP3,LRP2
NFXL1,MIR669G
BCL3,SLC26A10
ELF3,MANF
EPAS1,MIR466B-4
GATA4,CCNB1
FOXQ1,GM43535
KPNA2,BCAT1
BHLHE40,GM44335
SOX2,TDGF1-PS1
KLF2,NR0B1
BCL3,BMPER
HMGA1,GM10259
HIST1H1D,SNORA3
DNMT3L,KDM5B
DAB2,HIST1H2AH
NR0B1,TENM4
DNMT3B,P4HB
TAX1BP3,ITGA3
ETV5,TET1
HMGA1,GM22925
FOXQ1,SEC24D
KAT2B,GM22988
ETV5,MIR677
PCBD1,PDPN
KAT2B,F3
