TF,Target
TFCP2L1,FLRT3
NANOG,OPLAH
DNMT3A,GM27743
DAB2,ZFP57
KLF2,LRPAP1
BCL3,HSP90AA1
ZFP42,GM26318
TGIF1,LOXL2
DNMT3A,SOAT1
DAB2,HIST1H2AH
GATA4,FGF4
KDM5B,HSP90AA1
TFCP2L1,MAN1A2
TGIF1,CREB3L2
ZFPM1,FLRT3
EPAS1,MIR466B-4
UTF1,GM37746
ELF3,HIST1H3I
ZFP42,TET1
SOX7,PTH1R
SOX7,XBP1
DNMT3B,STXBP2
DNMT3B,P4HB
BHLHE40,SNORD93
TAX1BP3,GM20721
BHLHE40,GM44335
XBP1,SPARC
RBPJ,GM43521
GATA6,NPHS1
XBP1,GM37746
PEG3,AY036118
DNMT3L,GM22925
BHLHE40,GM27406
TAX1BP3,LOXL2
ETV5,DNMT3B
HIST1H1B,LGMN
GATA4,ZFAS1
ELF3,MANF
HSPB1,RHOX5
KLF2,NR0B1
KLF2,GNAS
DNMT3L,NUTF2-PS2
HMGA1,GM25472
SOX2,GM26491
PCBD1,CCN2
DAB2,SNHG5
SOX2,LAMA5
NANOG,HIST1H3I
HIST1H1D,SOAT1
PHC1,APOE
GATA4,CCNB1
ETV5,IGF2
BCL3,BMPER
ESRRB,TAX1BP3
ETV5,MIR677
DNMT3L,FXYD3
CCND1,PRSS35
FOXQ1,GM43535
TRP53,SNORD93
SOX2,GM25040
HIST1H1D,GM22468
NFXL1,MIR669G
ZFPM1,MIR669G
HIST1H1B,LAMB1
POU5F1,PMM1
ETV5,GM24488
TFCP2L1,PCBD1
BCL3,SLC26A10
DNMT3B,AU018091
UTF1,GM25673
HMGA1,GM25535
PCBD1,PDPN
PML,PMM1
ESRRB,HIST1H2BL
NFXL1,SNORD85
SOX2,FOXQ1
RBPJ,SPINK1
CCND1,HMCES
KAT2B,CTSA
HIST1H1D,GATA6
PML,GM27501
POU5F1,LEFTY2
EPAS1,ME1
DAB2,PLAT
DNMT3B,TAX1BP3
ZFPM1,MIR7005
PHC1,RPL23A-PS3
ELF3,PMM1
GATA4,MIR669J
MYBL2,PCOLCE
PEG3,ZFAS1
NR0B1,MYLPF
KAT2B,GM22988
NR0B1,TENM4
BCL3,GM43107
RBPJ,GM4322
POU5F1,GM8355
NR0B1,SERPINH1
SOX2,TDGF1-PS1
TAX1BP3,ITGA3
ZFPM1,CLDN6
TGIF1,RNU73B
ELF3,NID1
POU5F1,LTBP4
NANOG,GM28900
GATA6,HIST1H3I
ETV5,TET1
HIST1H1B,GM23344
MYBL2,MIR466B-6
TAX1BP3,GM26156
HSPB1,GATA4
KDM5B,CDC20
CCND1,NRG1
CCND1,NSD2
BHLHE40,GLIPR2
HSPB1,UAP1L1
HMGA1,KAT6B
KDM5B,GM24564
BHLHE40,GM24916
GATA4,SNORD32A
PML,ITPK1
KAT2B,GM14303
ETV5,RPL15-PS3
GATA4,ANXA2
PEG3,MIR669J
RBPJ,PHC1
NR0B1,COL4A2
NFXL1,SNORD65
TFCP2L1,GM22862
ZFPM1,SNORD65
HIST1H1B,AKR1B8
KLF2,GM3788
BHLHE40,TRP53
MYBL2,MIR3473F
DAB2,GM23130
ETV5,GM44390
DNMT3A,TFCP2L1
TAX1BP3,INSIG1
CREB3,MANF
KDM5B,MME
TFCP2L1,IFITM2
CREB3,HMGA1
NFXL1,NR0B1
PCBD1,TYRO3
ZFP42,MIR669J
KLF2,RRM2
BCL3,GM10925
EPAS1,2410141K09RIK
TGIF1,TPM4
TGIF1,HIST1H3I
SOX17,IFITM3
XBP1,GM23158
GATA4,MIR8091
NFXL1,RRBP1
ESRRB,MIR677
ZFPM1,PATJ
ETV5,GM24044
CREB3,GM25673
PML,GM24761
HIST1H1D,NID1
ESRRB,LOXL2
RBPJ,GM22678
FOXQ1,SNORD93
RBPJ,SPRY2
TGIF1,RCC2
HIST1H1D,SNORA3
ZFPM1,GM10719
JARID2,GM27592
JARID2,HTRA1
ELF3,CAR2
GATA6,GM23262
FOXQ1,SEC24D
CREB3L2,ARHGAP29
EPAS1,LEFTY2
MYBL2,TFCP2L1
DNMT3B,GM24451
GATA6,LGMN
ZFPM1,HTRA1
KDM5B,GM23130
DAB2,MT2
DNMT3A,GRB10
HMGA1,GM29397
DNMT3L,CEMIP
TRP53,TNS4
TAX1BP3,LRP2
MYBL2,GM37376
POU5F1,NSD2
SOX17,HIST1H4N
EPAS1,HIST1H2AF
POU5F1,GM14303
ETV5,FAM25C
GATA6,PDCD4
ELF3,TFRC
HMGA1,ASS1
HIST1H1D,SPINK1
HIST1H1D,RHOX5
ZFP42,SURF4
PML,RPL23A-PS3
SOX2,HIST2H2BB
HSPB1,GM10259
KAT2B,TDH
KPNA2,BCAT1
TAX1BP3,STARD8
ELF3,STXBP2
KAT2B,F3
PML,GM24289
DNMT3L,KDM5B
HMGA1,PODXL
PCBD1,GM25535
EPAS1,CCNG1
KAT2B,2210409E12RIK
HMGA1,GM22925
HIST1H1D,LOXL2
PML,GM22678
NFXL1,PTH1R
MYBL2,CEMIP
XBP1,VIM
BHLHE40,GM4322
HMGA1,GM10259
KPNA2,RPL23A-PS3
ESRRB,P4HB
SOX2,LDHB
PCBD1,GM4322
ELF3,GM22411
