TF,Target
ZFP57,MIR7005
HNF1B,SLC38A4
TCF7L2,RRBP1
MYCN,ST5
ELF3,HSP25-PS1
ZBTB10,GCLM
ZFP42,DAB2
FOXQ1,MIR466B-6
TFEB,MIR291B
ETV5,GM4322
MYCN,MIR28B
ETS1,GM24616
ETS1,SNORD110
TGIF1,GM49369
KLF6,SNHG12
MSC,CRELD2
MYCN,GM23988
PLSCR1,LRRK1
MYCN,SNORA21
HMGA1,PRXL2A
TET1,SLC38A4
FOXH1,GRB10
PLSCR1,CCND2
ETV5,GM44346
KLF3,GM24339
KDM5B,MIR669A-1
PLSCR1,PARVB
SOX2,GM22677
FOXQ1,TENM4
TFEB,GM24761
SOX7,NANOG
KDM5B,RIF1
NR0B1,GSR
BNC2,ARHGEF40
CREB3L2,ZFP532
KLF6,IDI1
KLF4,RPS25-PS1
ETV5,ACP6
KLF4,GM22411
SOX17,GM23632
CREB3L2,RRM2
MYBL2,COTL1
MYBL2,GM14303
GATA6,FGF4
ETS1,STAG3
ZFP57,VKORC1
TCF7L2,LDLRAP1
ZBTB10,GM38312
TFEB,MSI2
ELF3,GM23571
GLMP,SNORD93
TGIF1,KANK3
ZFPM1,MID1-PS1
HNF1B,TGM1
TFEB,MSMO1
ZBTB10,PLXNA1
GATA4,SNORA73B
KLF3,PNRC2
ZFP57,SOCS2
CREB3,MIR467C
GATA6,PDIA4
EPAS1,GM22620
HNF1B,PLK2
TET2,GM4617
CREB3,MIR297A-2
ZFP57,GM44429
FOXH1,COL4A2
ZFP42,HIST1H4N
RUNX1,RRM2
MYCN,GM25451
HNF1B,HIST1H2AP
KLF3,RBBP7
GATA6,TGIF1
TGIF1,RHOX5
TET2,GDPD5
BHLHE40,FOXQ1
KDM5B,GM44170
NANOG,GM23639
ELF3,GM38009
CREB3,FRMD4A
CREB3,ENAH
TET2,GASK1B
FOXQ1,GM15421
PLSCR1,RPL15-PS3
TCF7L2,ADAM19
TFCP2L1,COBL
MYCN,SNX1
BHLHE40,GM24339
NANOG,GM22571
PEG3,RPL23A-PS3
PLSCR1,GATA4
NFXL1,ESRRB
MSC,PRPS2
GLMP,GM25316
ZFPM1,TSPAN9
ESRRB,GAS6
BHLHE40,ZYX
SOX2,F2R
CREB3,GM10108
PEG3,GM27501
ETV5,PNRC2
KLF3,GM27390
RBPJ,CCND3
ETV5,DNMT3L
RUNX1,SNORA81
ZFP42,ASAH1
KLF3,FGF10
KLF6,OPLAH
TFEB,RAB11A
GATA6,GM42429
TCF7L2,GM22030
ETV5,LDLRAP1
KLF3,SLC6A8
FOXQ1,NEU1
XBP1,GM26229
POU5F1,P4HA2
BNC2,GM44429
TET2,GM22677
MYBL2,IDI1
HMGA1,VSIR
FOXH1,GM22988
ZBTB10,NSD2
KLF3,SLC7A6
ZFP42,SNHG5
KLF3,MIR3070B
TGIF1,SEMA4C
ZFP57,HMGA1
NR0B1,GM28010
NANOG,JAM2
KLF3,FXYD3
SOX2,KRT8
NFXL1,VILL
XBP1,GM26447
TET2,CYP26A1
NANOG,ADAMTS9
HNF1B,RUNX1
KLF6,HS3ST1
XBP1,SEC23A
ZFPM1,CTDSPL
RBPJ,LIFR
EPAS1,ZC3H7A
TFCP2L1,SNORA43
PLSCR1,PTH1R
POU5F1,GM43558
RUNX1,KLF6
SOX7,HSPH1
SOX7,ZFPM1
TFCP2L1,FN1
TCF7L2,GM33051
TCF7L2,SLC1A5
NFXL1,POU5F1
KLF2,GM44380
ZFP42,SNHG12
NFXL1,PML
PEG3,CTSD
GATA6,GM43521
PLSCR1,ZFYVE21
ZFP42,CTSD
KDM5B,LRRC8D
CREB3L2,NR0B1
RUNX1,HIST1H1A
POU5F1,GM15452
HNF1B,STARD10
ETS1,MSMO1
TET2,RPL17-PS10
ETV5,ARF4
KLF6,GHR
CREB3,GM8355
MSC,GPA33
KLF4,MIR8094
GATA6,RAB3IL1
BNC2,GM28010
MSC,SNORD33
ZFP57,HIST1H4K
EPAS1,GM23245
PLSCR1,LY6E
EGR1,ELF3
TFCP2L1,GM24761
PLSCR1,ADGRE5
MYBL2,PATJ
SOX2,AGPAT4
ESRRB,ABHD5
PEG3,SLC25A5
ELF3,VKORC1
KLF3,ABCC5
GATA4,GM26156
ZFPM1,TAGLN2
TGIF1,VANGL1
ZFPM1,MAN1A2
KLF3,GM43107
KLF6,HIST1H2AH
FOXQ1,GM24044
TGIF1,SNHG5
RBPJ,HIST1H1B
ZFP42,ST5
XBP1,TYRO3
BHLHE40,PHC1
BHLHE40,GM22030
BHLHE40,PDIA4
RUNX1,CKB
MYBL2,RFFL
TET2,UBE2C
KLF4,MDM2
SOX2,SLC38A4
ESRRB,EPHA4
RBPJ,PMM1
KLF4,TTC7
TFEB,IFITM3
NR0B1,GM23344
FOXQ1,TFEB
BNC2,RNPEP
CREB3,GM22353
EPAS1,SERPINE2
FOXQ1,GM43110
NR0B1,LRRC8D
SOX2,MIR669K
TFEB,GM7993
MYCN,GM22748
KLF4,GDPD5
XBP1,PLTP
POU5F1,BCAM
NFXL1,MANF
NR0B1,CCND1
KLF4,HNF1B
CREB3,KRT17
NR0B1,GJB5
MYBL2,PEG3
TET1,RPL17-PS10
GATA6,UBQLN2
NANOG,HIST1H4N
TET1,GM10719
ESRRB,GM27326
MYBL2,GM25117
ETS1,WDR45
FOXQ1,SDC4
SOX2,TMEM9
EPAS1,MIR669E
RBPJ,AKR1B3
KLF4,CDCA7
ETV5,MFSD1
KLF4,SNORD33
TFEB,GM26287
ELF3,COMMD3
TET1,EDA2R
ESRRB,COL4A2
TFEB,CDC42SE2
GATA4,RNU73B
ZBTB10,SNORA17
FOXH1,SLC20A1
CREB3,ECHDC2
HMGA1,FOLR1
ZFP42,SNORD70
CREB3L2,P4HA2
TET1,TMED2
TET2,MIR466B-6
KLF4,STARD10
MSC,RRAS2
SOX7,MIR763
SOX17,TCN2
ZFPM1,GM22925
TET2,GM10259
XBP1,GM26491
ETS1,SERPINE2
MYCN,DENND2C
ZFP42,GM27743
GATA6,TPM4
TCF7L2,TINAGL1
TCF7L2,MIR669E
HMGA1,DNAJC10
NFXL1,LEFTY1
SOX2,TNK2
GATA4,GM26431
HMGA1,KAT6B
SOX2,DDAH2
POU5F1,GAS6
BNC2,SLC25A5
ZFPM1,GM43558
RUNX1,GM23245
EPAS1,FRRS1
GATA6,SFMBT2
SOX17,TDGF1-PS1
SOX17,SNORD93
TFCP2L1,AF357399
PLSCR1,HIST1H2AC
KLF6,LOXL2
MYCN,FBXO5
ESRRB,RRBP1
KLF2,GM24523
MYCN,MCM6
BHLHE40,FLNA
SOX17,PLK1
MYBL2,FOXH1
SOX2,GM43108
GATA6,NDRG1
ESRRB,LAD1
FOXQ1,CD63
KLF4,TDH
SOX17,FLNA
FOXH1,CRELD2
MSC,GM17545
TFCP2L1,MT2
ETV5,IFITM1
ZFPM1,GNPDA1
TFEB,MIR7003
SOX7,SNORA62
HNF1B,HELLS
CREB3,SNORA17
BNC2,SNORD72
XBP1,GM2399
RBPJ,PLK2
FOXQ1,MYBL2
MYBL2,TOP2A
BHLHE40,LY6G6E
EPAS1,GM10012
BHLHE40,HSPG2
GLMP,SERPINE2
KLF4,ZFP989
PLSCR1,HIST1H2AK
ESRRB,GM10718
KLF6,GM5616
BHLHE40,ARHGEF40
TGIF1,MKRN1
FOXH1,P4HA2
HNF1B,ABCC5
RBPJ,GM21860
SOX2,UBALD2
TCF7L2,GM24761
ETS1,DAB2
TCF7L2,GM44429
EPAS1,GM23497
NANOG,P4HB
SOX17,IFITM1
KLF2,GM27624
ELF3,MIR3535
SOX17,SPSB1
PEG3,LGALS3
KLF3,TTC7
KLF2,CTSD
MSC,SNORD72
ZBTB10,RNU73B
TET2,GM26109
TFCP2L1,GM44380
KLF2,ECHDC2
KLF3,DPP4
POU5F1,WDR45
TET1,LGMN
ZFPM1,GM37746
FOXQ1,GM17545
CREB3,SURF4
ZFP42,ABHD5
KLF6,STAG3
SOX7,GM44364
BNC2,SNORD110
KLF6,CAR2
BHLHE40,GM15899
BHLHE40,JAM2
GATA6,GM25500
KLF2,2410141K09RIK
GATA6,GM25636
KLF4,CCNB1
SOX2,PARVB
ZFPM1,ID2
FOXQ1,IFRD1
ZFP57,GM15247
MSC,RBPMS2
TFCP2L1,TTC7
KLF2,TGIF1
EPAS1,VSIR
RBPJ,GM23542
ZFP42,RIF1
XBP1,MIR3091
RBPJ,PLSCR1
CREB3,PEG3
ESRRB,ENAH
NANOG,SNORA17
SOX17,RESF1
BNC2,TUBB6
EGR1,KRT42
NFXL1,CCN2
EPAS1,MYO18A
POU5F1,PTH1R
ELF3,GM23600
KDM5B,TAX1BP3
ZBTB10,GM22620
HNF1B,STAG3
KLF6,TINAGL1
HNF1B,SNX1
HNF1B,GM22051
GATA4,PROS1
ZFP42,RPS25-PS1
FOXQ1,CSRP2
ETV5,PTH1R
CREB3L2,FOXQ1
HNF1B,GM44206
NANOG,DKK1
PLSCR1,GM8355
TFEB,GJB3
KLF2,UCP2
RUNX1,LRPAP1
RBPJ,ZFAS1
MSC,GLIPR2
MYBL2,RRM2
KLF6,MIR5117
KLF2,APAF1
KLF3,GM22468
TFEB,GM15181
TFCP2L1,MDN1
TET2,HYOU1
TFEB,ADGRE5
XBP1,GM20721
POU5F1,ADGRE5
ZFP57,MYO1C
EGR1,RCC2
ZFP42,MIR6357
NANOG,LRRC2
GATA6,MIR6928
CREB3,LAPTM5
MYCN,GM24289
XBP1,BHLHE40
KLF6,GM22281
ETV5,ESRRB
KDM5B,EPS8
KLF6,SELENOK
ETV5,ADGRE5
TCF7L2,GM24523
PEG3,ABCC5
ETS1,SNORA73B
ESRRB,TPD52
TFEB,MIR6357
SOX17,MPP1
TCF7L2,GM10169
GATA4,FLNA
ELF3,PML
KLF3,RAB11A
KLF6,SPP1
TET2,AKT1
HNF1B,KDELR2
TET1,HIST1H2AC
BNC2,HIST1H2AL
KDM5B,SPOCK1
ZBTB10,SLC20A1
KLF6,FRRS1
TGIF1,GLIPR1
SOX7,FGFR3
SOX2,COTL1
RUNX1,P4HA1
SOX17,1810032O08RIK
ZBTB10,ANP32A
PLSCR1,GM23245
GATA4,CENPV
PLSCR1,GM38009
XBP1,MIR5117
ETS1,KLF6
TET2,LRRK1
TGIF1,RIAN
GATA4,AMFR
SOX7,GM21860
TET1,PDE4DIP
