TF,Target
NFKB1,RARB
RORA,GM4951
KLF3,MYCT1
RORC,CNN3
EPOR,ANXA2
RUNX2,CDK17
MECOM,TGM2
MCM2,SLC35D3
HOXA9,KLF6
EYA2,ABI1
DEK,ITPK1
PRDM5,AFF3
TRIB3,CDT1
ZBTB20,BACE1
MIS18BP1,BIRC3
HCFC1,ARHGAP27
MAML3,RNF125
TSC22D3,ARHGEF18
IRF7,1700017B05RIK
NOTCH1,GMIP
XRCC6,PDE7A
MED16,MAPKAPK3
MAML3,PLA2G4A
E2F8,FOXO1
VEZF1,HNRNPAB
LDB2,ELOVL5
RAD51,MAPK12
RAD51,PLIN2
THRB,ZMIZ1
ESR1,PDE7A
MCM5,TSPAN6
ELL2,PGM2L1
E2F8,OAS2
SPI1,NEAT1
MEF2C,ANO10
PA2G4,TIMM50
PBX3,TRMT6
PHC1,SDC1
HNRNPAB,TESPA1
MED16,NFKBIA
MED16,MAP3K2
XPC,CD9
EPOR,ID1
ELL2,ZFP111
ELF1,MYO1G
NFKB1,PRKAR2B
PML,NAPRT
SPO11,ARNTL
HIST1H1C,GPRASP1
H1F0,PML
EGR1,USP11
VEZF1,PDZK1IP1
ESR1,PIK3CG
XPC,SLC18A2
TEAD2,MYO1F
NDN,HJURP
SPO11,MLLT3
RAD51,PRPS2
LDB2,ICE1
GFI1B,H2-OB
PRDM16,EPB41L4B
EGR1,PRPS2
GATA2,SLC35B4
HDAC11,B4GALT4
IKZF1,PDE7A
LZTS1,ASB13
EGR1,BCL2
ZFP111,SUGP2
EGR1,FDFT1
NDN,SH2D3C
FOXO1,RTP4
NFAT5,FGGY
HDAC11,IL1R1
MCM5,GM20559
ANKRD6,ATP2B4
RARB,PARVG
SLA2,PLA2G4A
PRDM5,MAPK11
KLF10,TAPT1
MCM4,FLNA
E2F8,HELLS
CENPK,TINAGL1
NFKB1,FUT7
ZBTB20,ALDOC
PRDM16,GMIP
TRIB3,GM1966
VDR,CDCA4
ELF1,PAQR5
H1F0,SCARF1
CENPK,SGPL1
HIST1H1C,ANXA4
IKZF1,TRP53INP1
NFIA,PANX1
SOX18,BC005561
CLOCK,SAT1
HDAC7,ASB13
MAML3,ARID3B
DEK,RMND5A
MLLT3,PIP4K2A
ELL2,ITPR1
CLOCK,MPRIP
MCM4,MYO1F
SOX18,PROCR
JUN,TCF19
MEF2C,ENPP4
ZKSCAN4,IER3
IRF7,TSPAN14
PML,MYO5A
YBX1,EZR
H1F0,MEIS1
MLLT3,RPA2
HCFC1,HMGB2
HDAC7,CD9
ZFP467,BCL2
CTR9,NFAT5
TRPS1,CTSF
PGR,ENPP4
VDR,GM4759
MCM7,PYGL
EYA2,SQLE
MEF2A,NEAT1
TLR4,MGAT1
HMGB2,RAB38
AEBP1,TRIB3
ELF1,IGKC
HIST1H1C,EZR
MED16,GRAMD1A
VEZF1,APBB1
