TF,Target
GFI1B,MYCT1
SOX18,BC005561
XPC,SLC18A2
LDB2,ICE1
PA2G4,FOXO1
ESR1,STK10
EGR1,FDFT1
KLF8,IRGM2
NOTCH1,SERPINB9
CREB5,ZFP62
ARID3B,IDH1
MYCN,GRAMD1A
PBX3,TESPA1
HIST1H1C,PSTPIP1
PRDM5,MAPK11
CREB5,GM10384
MLLT3,ART4
KLF8,SSTR2
GATA2,SLC35B4
MAML3,ARID3B
SATB1,NUBP2
CENPK,PYGL
VEZF1,APBB1
PBX1,EPSTI1
VDR,YOD1
HNRNPAB,PDK3
MEF2A,CSAD
MEIS1,LIG1
MCM4,FCHO2
MAPK11,NAPRT
RBL2,PGLYRP2
IRF6,ELOVL5
PBX1,GATA2
SPI1,GRINA
MAML3,PLA2G4A
NOTCH1,GMIP
HIST1H1C,GPRASP1
LZTS1,ZFP367
HIF3A,MAN1A
ZFP467,TSPAN14
PHC1,AKNA
NFE2,FADS1
EGR1,PIP4K2A
MCM4,FLNA
VDR,C030034L19RIK
TRIB3,CDT1
PRDM5,AFF3
HNRNPAB,GATA2
CENPK,SATB1
ELL2,ZFP120
HIST1H1C,EZR
GATA2,PSEN1
BTG2,CCNG2
PA2G4,TIMM50
LZTS1,ASB13
ZFP467,SELL
HOXA9,KLF6
EYA2,SQLE
ELF1,PRDM5
ZBTB20,TMEM173
IKZF1,SUGP2
H1F0,RUNX1T1
HMGB2,IKZF1
TRPS1,LDHB
MEF2C,ENPP4
IRF7,KIF23
RUNX1T1,CCL3
RUNX2,CDK17
NFAT5,FGGY
TCF19,PLA2G4A
REL,PLCB2
TLR4,ADGRG3
NFKB1,RARB
NFIA,METTL7A1
PRDM16,PA2G4
YBX1,PRODH
E2F8,HELLS
GATA2,PQLC1
MCM4,MYO1F
E2F8,FOXO1
MCM2,SLC35D3
PRDM16,GMIP
RAD51,PRPS2
SPI1,NEAT1
HMGB2,RAB38
EPOR,EPSTI1
MCM4,RAB37
MCM7,PYGL
TCF19,MILR1
SLA2,SOX18
MECOM,MAPK11
NFAT5,UNC93B1
CLOCK,ASB13
FOXO1,RTP4
TLE2,CLOCK
EPOR,ID1
DEK,RMND5A
XPC,CD9
TLE2,SUGP2
EGR1,PRPS2
PRDM16,LRRFIP1
NOTCH1,RNF213
YBX1,INKA1
HCFC1,ARHGAP27
ESR1,PIK3CG
RORC,CNN3
YBX1,ETS1
KLF3,MYCT1
RAD51,PLIN2
NFKBIA,GM20559
CLOCK,SAT1
IRF7,TSPAN14
TRIB3,GM1966
RPS6KA5,HELLS
PA2G4,DUSP1
HDAC7,CD9
HLF,IER2
AEBP1,TRIB3
H1F0,MEIS1
PGR,RHOF
HDAC11,PARP8
RPS6KA5,SPI1
CREB5,USP11
MEF2A,NT5C3
EGR1,BCL2
NUPR1,MGAT1
ESR1,PDE7A
ZKSCAN4,IER3
EYA2,ABI1
RAI14,SLA2
SPO11,HJURP
ZBTB38,TRIB3
THRB,ZMIZ1
ZBTB20,ALDOC
RPS6KA5,IL27RA
CLOCK,ZFP62
PGR,ARHGAP27
RAD51,MAPK12
FOXO1,SNX30
ELF1,IGKC
CENPK,SGPL1
RAD51,RMND5B
PHC1,RMND5A
RAD51,KLF3
TEAD2,MYO1F
HCFC1,HMGB2
IKZF1,TRP53INP1
DEK,ITPK1
NUPR1,TAPT1
ELF1,MYO1G
E2F8,KIF23
NDN,SH2D3C
NFAT5,GM28875
NFIA,PANX1
MAPK11,NUDT19
ZFP467,BCL2
SATB1,BATF2
ETS1,KCNK5
PML,MYO5A
APBB1,RASSF5
AEBP1,BCLAF3
ARID3B,ANO10
MEIS1,RBBP9
IRF7,CDT1
KLF8,MCM2
MCM5,LRRC8C
EGR1,OASL2
HDAC11,IL1R1
NFE2,IER2
AEBP1,PIK3CG
MECOM,ITSN1
TLR4,MGAT1
RORA,GM4951
PRDM16,KIF23
VDR,CDCA4
IRF7,1700017B05RIK
TAF12,CPQ
ZFP111,SUGP2
PHC1,CDK17
LDB2,MAP2K1
NUPR1,TFPI
ESR1,ATP2B4
NFKB1,PRKAR2B
ELF1,PAQR5
MEF2A,NEAT1
DACH1,GRINA
ZBTB38,NKG7
MED16,GRAMD1A
ELL2,ITPR1
RUNX1T1,CD274
XRCC6,PDE7A
PML,ABCF3
E2F8,HNRNPAB
YBX1,EZR
MED16,MAPKAPK3
YBX1,IGKC
SLA2,PLA2G4A
PRDM16,CAPN5
EGR1,FOXO1
NFAT5,GRAMD1A
ZBTB20,BACE1
TSC22D3,SQOR
HDAC7,GMFB
EYA2,HACD4
ANKRD6,ATP2B4
KLF10,TAPT1
RAD51,TNPO1
GATA2,PIP4K2A
PHC1,SDC1
NDN,HJURP
GATA2,RAB38
MAPK11,IGHM
IRF7,MYC
MECOM,PRIM1
VEZF1,HNRNPAB
IRF6,SERPINB6A
RARB,MAPK11
VEZF1,PDZK1IP1
ELL2,PGM2L1
CENPK,TINAGL1
SOX6,RPA2
DEK,NFIA
H1F0,SERPINB1A
MLLT3,RPA2
PRDM5,MYO1F
NR3C2,CREB5
THRB,YBX1
SMARCA2,ENPP4
MCM4,9530082P21RIK
CLOCK,MPRIP
ELL2,ZFP111
ID1,EPOR
MAML3,RNF125
