TF,Target
TAX1BP3,LOXL2
ZFPM1,HTRA1
PML,RPL23A-PS3
NR0B1,COL4A2
HIST1H1D,SPINK1
HIST1H1D,RHOX5
RBPJ,GM22678
DNMT3L,NUTF2-PS2
ETV5,GM24488
HMGA1,ASS1
POU5F1,GM8355
RBPJ,GM4322
ETV5,DNMT3B
DAB2,ZFP57
ETV5,IGF2
ESRRB,HIST1H2BL
BCL3,GM43107
KLF2,RRM2
NFXL1,RRBP1
KPNA2,BCAT1
DAB2,GM23130
GATA4,CCNB1
BCL3,GM10925
UTF1,GM25673
FOXQ1,SNORD93
HIST1H1B,LGMN
TFCP2L1,MAN1A2
NFXL1,SNORD65
KAT2B,GM14303
TAX1BP3,LRP2
ELF3,CAR2
DNMT3L,KDM5B
NR0B1,TENM4
ETV5,TET1
SOX2,GM25040
KAT2B,2210409E12RIK
NR0B1,MYLPF
DNMT3L,CEMIP
PML,GM24761
KLF2,GNAS
PML,GM24289
HIST1H1D,SOAT1
HIST1H1D,GM22468
POU5F1,LEFTY2
TFCP2L1,IFITM2
HIST1H1B,GM23344
GATA4,MIR669J
PEG3,ZFAS1
BHLHE40,GM24916
SOX2,TDGF1-PS1
ETV5,GM24044
EPAS1,LEFTY2
TGIF1,CREB3L2
PCBD1,TYRO3
DNMT3A,TFCP2L1
TAX1BP3,INSIG1
HIST1H1D,SNORA3
ETV5,MIR677
UTF1,GM37746
POU5F1,NSD2
GATA4,MIR8091
SOX7,XBP1
JARID2,GM27592
MYBL2,MIR466B-6
RBPJ,SPINK1
TAX1BP3,STARD8
ELF3,HIST1H3I
ZFP42,TET1
PHC1,APOE
MYBL2,CEMIP
DNMT3L,FXYD3
CREB3,MANF
HSPB1,UAP1L1
GATA4,ANXA2
HSPB1,GATA4
PML,ITPK1
RBPJ,GM43521
CREB3,HMGA1
ZFPM1,SNORD65
KAT2B,GM22988
TFCP2L1,FLRT3
KAT2B,CTSA
DNMT3B,AU018091
GATA4,SNORD32A
KDM5B,MME
TAX1BP3,GM20721
GATA6,LGMN
NFXL1,MIR669G
HMGA1,GM22925
EPAS1,HIST1H2AF
PML,GM27501
GATA6,HIST1H3I
XBP1,VIM
DNMT3B,STXBP2
NANOG,GM28900
ETV5,GM44390
BCL3,SLC26A10
MYBL2,TFCP2L1
DAB2,PLAT
PCBD1,CCN2
CCND1,PRSS35
HIST1H1D,NID1
RBPJ,SPRY2
XBP1,GM37746
FOXQ1,GM43535
TGIF1,HIST1H3I
CREB3L2,ARHGAP29
HIST1H1D,LOXL2
XBP1,SPARC
TGIF1,TPM4
POU5F1,LTBP4
SOX2,HIST2H2BB
ELF3,TFRC
SOX2,GM26491
MYBL2,MIR3473F
HMGA1,GM10259
GATA6,PDCD4
PCBD1,PDPN
NR0B1,SERPINH1
KDM5B,GM23130
HMGA1,GM25472
TAX1BP3,GM26156
ELF3,NID1
CREB3,GM25673
HMGA1,KAT6B
DAB2,MT2
ZFP42,MIR669J
ESRRB,P4HB
PCBD1,GM4322
SOX2,LDHB
ELF3,PMM1
NANOG,OPLAH
DNMT3A,GRB10
HIST1H1D,GATA6
KLF2,NR0B1
POU5F1,GM14303
KAT2B,TDH
BHLHE40,TRP53
RBPJ,PHC1
KDM5B,CDC20
DNMT3B,TAX1BP3
ELF3,MANF
PCBD1,GM25535
NANOG,HIST1H3I
GATA4,ZFAS1
HSPB1,GM10259
ZFPM1,MIR7005
HMGA1,GM25535
DNMT3A,GM27743
BHLHE40,SNORD93
GATA6,GM23262
ZFPM1,MIR669G
KAT2B,F3
DNMT3B,P4HB
BHLHE40,GLIPR2
PML,PMM1
PHC1,RPL23A-PS3
BHLHE40,GM44335
BCL3,HSP90AA1
GATA6,NPHS1
EPAS1,CCNG1
TGIF1,LOXL2
PEG3,AY036118
KPNA2,RPL23A-PS3
ELF3,GM22411
ESRRB,MIR677
ZFP42,SURF4
POU5F1,PMM1
ZFP42,GM26318
ESRRB,LOXL2
MYBL2,GM37376
EPAS1,MIR466B-4
HIST1H1B,LAMB1
TRP53,SNORD93
DNMT3L,GM22925
BHLHE40,GM27406
KDM5B,GM24564
SOX2,FOXQ1
ESRRB,TAX1BP3
ZFPM1,FLRT3
DNMT3A,SOAT1
TAX1BP3,ITGA3
SOX17,HIST1H4N
BHLHE40,GM4322
TGIF1,RCC2
TGIF1,RNU73B
KLF2,GM3788
PEG3,MIR669J
NFXL1,PTH1R
KDM5B,HSP90AA1
CCND1,NRG1
FOXQ1,SEC24D
EPAS1,2410141K09RIK
SOX17,IFITM3
ZFPM1,PATJ
SOX7,PTH1R
GATA4,FGF4
NFXL1,SNORD85
EPAS1,ME1
DAB2,HIST1H2AH
ELF3,STXBP2
ZFPM1,GM10719
DNMT3B,GM24451
TFCP2L1,GM22862
CCND1,NSD2
HMGA1,GM29397
DAB2,SNHG5
HMGA1,PODXL
BCL3,BMPER
PML,GM22678
NFXL1,NR0B1
KLF2,LRPAP1
SOX2,LAMA5
CCND1,HMCES
XBP1,GM23158
HSPB1,RHOX5
TFCP2L1,PCBD1
HIST1H1B,AKR1B8
ZFPM1,CLDN6
ETV5,RPL15-PS3
JARID2,HTRA1
ETV5,FAM25C
TRP53,TNS4
MYBL2,PCOLCE
